Winner,title_bout,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,age
1,1,5,0,0,0,-12.7,-10.4,-16.8,-11,-12.4,-5.9,-6.8,-4.5,-25.6,-12.7,0.4,2.3,1.7,-0.8,0,-36,-21.4,0,0.3,-4.5,-1.7,-0.358,-63.5,-45.5,0,-1,-6.9,-4.8,-6.5,-4.5,-39.3,-9.4,-0.2,-0.1,-36.5,-7.9,0.1,-2.6,-1.3,0,0,-46,-14,-0.1,0,0.1,0.3,0.05,-56.7,-24.1,-18,-323.2,-3,0,-1,-4,0,1,0,-4,5.08,7.62,0,-1
1,1,5,0,1,0,2.6,1.385714286,2.514285714,0.4428571429,36.55714286,5.957142857,-16.02857143,-14.52857143,27.42857143,-5,0,-6.985714286,-4.514285714,-0.9142857143,-0.1428571429,23.04285714,-8.128571429,-0.1767142857,0.2714285714,-4.142857143,-1.928571429,-0.3764285714,-2.871428571,-33.25714286,1,4,-11.57142857,-4.842857143,2.228571429,1.742857143,3.128571429,-0.5714285714,1.671428571,2.614285714,35.84285714,18.37142857,0.1,-17.24285714,-9.742857143,0.2571428571,0,7.028571429,3.785714286,-0.02914285714,0.4142857143,-0.9857142857,0.04285714286,0.08385714286,-6.642857143,-6.885714286,4,-213,-2,0,1,-1,0,-2,1,-1,2.54,0,0,1
1,1,3,0,-8,0,1.488172043,2.655913978,3.875268817,2.653763441,-31.39139785,-10.88602151,0.1827956989,-0.4602150538,-29.08817204,-12.34193548,0.4451612903,0.2666666667,0.9935483871,0.6021505376,-0.03655913978,-27.33333333,-8.692473118,0.06612903226,-0.6451612903,1.227956989,0.2774193548,0.01815053763,-29.29032258,-10.8516129,-3,7,3.43655914,3.737634409,5.619354839,5.105376344,-6.51827957,5.864516129,-3.124731183,-1.864516129,-10.62150538,2.283870968,-0.04086021505,3.161290323,3.083870968,-0.3010752688,-0.1010752688,-4.023655914,9.105376344,0.1132258065,0.03010752688,-0.7698924731,-0.4408602151,-0.06778494624,-1.746236559,11.17419355,35,-22.52903226,-1,0,-1,4,7,0,-1,9,5.08,-7.62,0,1
-1,1,3,-1,4,0,-1.25,3.75,7.875,6.875,4.625,7.75,12,9.875,35.75,29.75,0.125,-10,-9,0.375,0.25,24.5,24.5,0.18375,0.25,0.25,0.625,0.18375,37.375,36,-1,-2,-8,-7.375,-0.875,-1.875,-8.875,-11.75,0.875,0.5,5.125,1.125,0.125,-6,-6.875,0,0,-8.875,-13.125,-0.10875,0,2.125,0.75,0.0975,-10.375,-14.625,-11,-38.25,0,0,-1,-2,1,0,0,-2,7.62,-2.54,0,-3
-1,1,3,-1,1,0,9.25,7.75,-8.5,-5.25,150.25,34.75,-0.5,-0.5,133.75,22.25,-0.5,-1.75,-1,-0.25,0,141.25,29,-0.235,0,-0.5,0,0,140.5,29.25,-2,0,36.25,18.75,-4,-3,162.25,73.25,-7.75,-2.75,109.25,42.5,-0.25,5,6.25,-0.75,0,150.5,67.5,0.0325,0,-0.5,0,0,145,62.25,1,759.25,0,0,0,0,-2,0,0,-2,-7.62,-5.08,-14,6
1,1,3,0,0,0,10.75,4.833333333,8.833333333,4.916666667,129.5833333,59.08333333,-36.25,-31.58333333,73.08333333,11.41666667,0,18.33333333,16.16666667,-6.416666667,0.1666666667,102.1666667,32.41666667,-0.1675,0.1666666667,-4.666666667,-4.166666667,-0.5675,82,15.16666667,0,2,9,5.083333333,6.166666667,4,89.41666667,36.33333333,3.166666667,2,78.66666667,29.16666667,0,11.08333333,8.083333333,1.5,-0.3333333333,98.75,42.33333333,-0.1133333333,-0.75,5.5,1.166666667,0.14,93.5,42.16666667,10,346.5,-1,0,0,2,-1,-1,0,0,0,-5.08,0,5
1,1,3,0,0,0,-10.16666667,-10.83333333,-7.916666667,-7.666666667,12.33333333,5.25,-11,-8.333333333,3.583333333,0.6666666667,0.4166666667,0,-0.5833333333,-0.9166666667,0,-6.583333333,-10.75,0.009166666667,-0.08333333333,-2.583333333,-1.166666667,-0.1841666667,-35.66666667,-38.25,0,1,4.25,2.583333333,-3.083333333,-2.666666667,52.16666667,28.75,-0.1666666667,0,45.41666667,23.41666667,-0.25,-0.75,0.08333333333,-0.75,-0.08333333333,48.91666667,26.08333333,0.09666666667,-0.08333333333,-0.08333333333,-0.5833333333,-0.0575,29.75,8.666666667,-9,-255.4166667,0,0,0,-3,2,0,0,-1,-2.54,-15.24,0,3
-1,1,3,-1,0,0,-8.972222222,-6.555555556,-10.05555556,-9.527777778,-50.02777778,-9.777777778,-0.7777777778,-0.5,-54.75,-17.02777778,0,2.861111111,3.777777778,-0.5277777778,0.1388888889,-60.86111111,-19.80555556,0.1225,0.25,-0.2777777778,0.1388888889,0.06944444444,-45.72222222,-7.5,-2,-2,-7.472222222,-4.166666667,-12.55555556,-7.861111111,-32.11111111,-24.66666667,3.083333333,1.944444444,-20.11111111,-14.72222222,-0.1111111111,-14,-11.69444444,2.194444444,0.1388888889,-41.58333333,-30.58333333,-0.08944444444,0.02777777778,0.7222222222,1.222222222,0.1088888889,-38.02777778,-28.13888889,-15,-84.11111111,-1,0,-1,-2,0,0,0,-3,5.08,5.08,0,-8
-1,1,3,0,0,0,-1.083333333,-1.983333333,-5.45,-5.9,70.73333333,29.55,1.816666667,0.3333333333,76.31666667,31.23333333,0.3666666667,-8.133333333,-5.266666667,-0.6666666667,-0.4,67.1,23.98333333,-0.058,-0.6666666667,-2.233333333,-0.5666666667,-0.1363333333,59.25,15.46666667,-2,-4,11.75,7.45,-2.716666667,-3.133333333,102.6333333,51.23333333,-3.466666667,-2.866666667,67.36666667,23.48333333,-0.2,17.33333333,14.3,-0.9333333333,0,96.45,45.23333333,0.0105,-0.4666666667,-1,-0.8833333333,-0.255,80.08333333,30.55,-24,46.68333333,-1,0,0,-2,-2,-3,0,-7,7.62,2.54,0,-6
1,1,3,0,-2,0,16.06666667,12.56666667,11.83333333,9.466666667,-123.2333333,-42.06666667,1.266666667,1.233333333,-105.3666667,-33.7,0.2,-20.83333333,-10.23333333,0.1,0.1,-110.1333333,-31.36666667,0.07666666667,0,0.4666666667,0.3,0.25,-101.6666667,-23.2,-2,6,8.366666667,4.966666667,11.3,5.9,-7.133333333,-1,-1.966666667,-0.4666666667,-10.5,-3.633333333,0,4.333333333,3.1,0.3333333333,0,2.2,4.433333333,0.042,0.2,2.7,0.5333333333,0.254,-13.4,-9.466666667,17,-136.9,0,0,0,1,0,0,0,1,-5.08,2.54,0,5
-1,1,3,0,0,0,-3.571428571,0.1428571429,-5.714285714,-2.857142857,-101.1428571,-44.28571429,5.142857143,3.285714286,-54.42857143,-9.571428571,0.2857142857,-43.71428571,-34.42857143,0.2857142857,0,-101.7142857,-43.85714286,0.02428571429,0,2.428571429,1,0.2414285714,-102.8571429,-44.57142857,2,4,-7.714285714,-1.428571429,12.28571429,8.571428571,-56.57142857,-27.57142857,2.714285714,1.714285714,-9.571428571,2.714285714,-1,-24.28571429,-18.57142857,0.7142857143,0,-41.57142857,-17.28571429,-0.001428571429,0.7142857143,6.285714286,2.285714286,0.28,-34.28571429,-11,11,-203.2857143,0,0,0,0,2,0,0,2,-7.62,-12.7,0,0
1,1,3,-1,2,0,-0.2916666667,-0.3333333333,8.375,6.083333333,-91.58333333,-10.58333333,8.083333333,4.708333333,-87.16666667,-8.166666667,0.2083333333,12.33333333,8.708333333,1.25,0.25,-75.125,0.2083333333,0.24125,0.3333333333,-0.04166666667,1.125,0.26,-48.08333333,22.29166667,-1,1,0.5833333333,3.125,2.541666667,2.458333333,-93.125,-25.375,4.583333333,3.125,-68.375,-6.416666667,0,-18.20833333,-16.5,0.9583333333,0,-86,-19.79166667,0.1791666667,0.5,-1.541666667,-0.4166666667,0.1075,-82.79166667,-17.08333333,0,-271.375,0,0,-1,0,1,1,0,1,-7.62,-7.62,0,3
-1,1,5,0,0,0,-2.660606061,-0.4181818182,-0.1818181818,1.339393939,-37.28484848,-7.157575758,-7.03030303,-5.2,-38.83636364,-8.993939394,-0.1454545455,-3,-1.606060606,-0.6787878788,0.1818181818,-44.4969697,-11.01818182,0.1226060606,0.0303030303,-1.727272727,-0.8363636364,-0.206969697,-58.01212121,-22.96363636,-3,-1,2.078787879,3.090909091,-0.103030303,-0.01212121212,-11.57575758,-2.56969697,13.95757576,11.36969697,-1.224242424,2.854545455,0.1151515152,1.424242424,2.842424242,0.5333333333,0.09090909091,2.278787879,8.787878788,-0.02987878788,-0.04242424242,-0.1575757576,0.9878787879,0.2292727273,23.58181818,28.52121212,-11,-35.86666667,-2,0,0,-2,0,-1,0,-3,-2.54,-7.62,0,-2
-1,1,3,-3,3,0,0.8787878788,1.060606061,-4.606060606,-4.787878788,32.24242424,10.15151515,37.18181818,28.87878788,57.03030303,29.93939394,0.3939393939,6.909090909,3.242424242,1.242424242,0,64.81818182,34.24242424,0.02939393939,-0.1818181818,0.2121212121,0.7272727273,0.1590909091,127.7272727,93.12121212,0,-5,-7.333333333,-6.909090909,-9.121212121,-6.909090909,-14.6969697,-7.121212121,1.878787879,2.090909091,-15.15151515,-4.696969697,-0.1212121212,0.5454545455,-0.3333333333,-0.4848484848,0,-21.93939394,-11.93939394,-0.01454545455,0,2.848484848,-0.1515151515,-0.216969697,-22.81818182,-13.03030303,-14,225.9393939,0,0,0,1,-2,0,-2,-3,7.62,-2.54,0,-12
1,1,3,0,0,0,0.9,0.2,4.8,2.5,25.7,5.9,-10,-7.8,15.3,-1.9,-0.2,4.3,2.3,-0.7,-0.8,20.5,0.6,-0.111,0,1,0.6,0,13.6,-5.3,-2,0,-3.4,-0.4,-1,-0.1,-0.7,2.6,5,3,10.2,8.5,0.1,-3.5,-2.6,-1.1,-0.4,3.3,5.5,0.043,-0.8,-0.9,-0.1,0.4,-14.4,-12,-8,-251.3,0,0,-1,-1,-1,0,0,-3,-5.08,-10.16,0,-4
-1,1,3,0,-1,0,-2,-3,1,-0.6,-17.2,-14.4,4,0,-8,-9.6,-0.4,-2.2,-2.4,0.4,0.4,-12.2,-15,-0.156,0,2.2,0.8,0.168,-11,-14.2,-1,1,-1,0.4,2.4,0.8,-54,-10,-5.6,-3.8,-57,-13.2,-0.2,0.8,-0.2,-1.2,0.4,-57.2,-13,-0.008,0.6,-1.4,-1.2,0.094,-66,-17.6,-2,-52.6,0,0,-1,1,-2,1,0,-1,2.54,2.54,0,-3
-1,1,3,-1,0,0,14,14.7,23.2,19.8,3.1,2.1,1.8,1.2,16.3,8.9,0,-2.2,-0.5,0,0,28.1,23.1,0.097,0.2,-0.7,-0.1,0.103,46.3,37.9,1,1,12.5,10.4,13.3,13.6,10.3,0.9,-13.4,-12.7,0.9,-4.3,-0.5,-3.2,-4.3,1.1,0,10.2,1.8,-0.069,0.2,2.5,2,0.724,64.2,48.8,9,259.4,-1,0,0,2,0,0,0,2,0,-12.7,0,0
-1,1,3,0,3,0,1.666666667,0.05555555556,-3.777777778,-2.444444444,-21.05555556,-11.05555556,-1.722222222,-1.555555556,-21.11111111,-9.555555556,0.05555555556,-7.111111111,-5.555555556,0.9444444444,0,-26.55555556,-15.05555556,-0.04,-0.2222222222,2.333333333,0.2777777778,0.1255555556,-29,-17.05555556,1,-2,-3.388888889,-1.388888889,3.611111111,3.611111111,8.777777778,-0.6111111111,-3.555555556,-3.388888889,7.666666667,-1.833333333,0.05555555556,4.555555556,2.833333333,-1.555555556,0,8.833333333,-0.3888888889,-0.1327777778,-0.2222222222,-0.5,-1,-0.12,17.44444444,7,-8,-30.55555556,1,-1,0,-1,-1,2,0,-1,5.08,12.7,0,10
-1,1,3,0,0,0,11.23809524,12.0952381,10.47619048,9.19047619,79.33333333,51.28571429,2.047619048,0.380952381,85.33333333,52.33333333,-0.2857142857,-4.714285714,-3.571428571,0.619047619,0.5238095238,91.85714286,60.85714286,0.1528571429,0,1.19047619,0.619047619,0.2485714286,117.2380952,85,-2,-1,11.52380952,11.52380952,9.285714286,6.19047619,104.7142857,53.71428571,5.857142857,3.333333333,106.1428571,47.95238095,0.5238095238,2.19047619,3.761904762,-0.09523809524,-0.1428571429,119.8571429,63.23809524,0.09238095238,0.1904761905,2.619047619,0.380952381,-0.08523809524,119.047619,62.80952381,-11,-80.19047619,0,0,1,-4,0,0,0,-3,10.16,17.78,15,-5
-1,1,3,1,-1,0,7.5,7.166666667,12.16666667,9,32.16666667,15.33333333,0.6666666667,2.166666667,32.66666667,14.5,0.3333333333,4.833333333,4.833333333,1.833333333,0,45,26.5,0.02666666667,0.1666666667,4.833333333,2.166666667,0.3933333333,102.3333333,78.66666667,1,3,13.16666667,11.66666667,15.83333333,13.33333333,17.5,11.5,4.666666667,3.5,20.66666667,13.5,0.3333333333,4.166666667,3.166666667,0.1666666667,0,38,28.33333333,0.3583333333,0.6666666667,0,0.1666666667,0.1666666667,57.83333333,46.66666667,12,427.6666667,0,0,0,3,-1,0,0,2,0,-2.54,0,2
1,1,5,-1,0,0,-2.901098901,-1.208791209,-5.664835165,-4.131868132,0.4065934066,-5.923076923,13.32417582,11.2032967,21.48351648,10.83516484,-0.1923076923,-10.51648352,-8.478021978,1.714285714,-0.005494505495,8.065934066,1.148351648,-0.003076923077,0.1703296703,1.406593407,0.7692307692,0.1584615385,12.65934066,4.895604396,0,-5,-2.230769231,-1.225274725,-4.956043956,-3.434065934,-31.20879121,-1.505494505,-1.659340659,-0.6703296703,-33.74725275,-2.532967033,0.1043956044,-1.846153846,-1.851648352,-0.6263736264,-0.07692307692,-37.82417582,-5.60989011,0.1149450549,0.4945054945,-1.43956044,-1.071428571,-0.1042857143,-48.68681319,-15.58791209,-38,-69.91208791,-3,0,1,-7,-3,1,1,-7,2.54,17.78,0,-8
